"LAKE_CODE","exp_rich","shannon"
"1",8.499,2.714
"10",11,7.535
"100",17.999,6.572
"101",19,5.615
"102",12,5.545
"103",5,3.373
"104",40.989,7.95
"105",10,5.687
"106",5,2.153
"107",4,2.199
"108",7,6.426
"109",5,2.566
"11",13,8.95
"110",7.499,2.153
"111",11,4.874
"112",7,3.475
"113",15,4.844
"114",10.997,3.923
"116",13,4.728
"117",10,5.066
"118",8,6.021
"119",10,7.31
"12",10.499,4.537
"120",13.997,5.352
"121",15,11.391
"122",7,3.647
"123",10,6.158
"124",8,3.77
"126",9.5,4.215
"127",4,3.299
"128",8.499,4.834
"129",4,2.359
"13",11.998,7.313
"14",11.989,3.523
"15",14.999,6.623
"16",8,3.198
"17",7,4.711
"18",7.498,2.884
"19",15.245,6.639
"2",6.498,3.85
"20",4,2.494
"21",15.999,8.558
"22",6,3.48
"23",20.248,7.177
"24",7.499,2.691
"25",9.997,6.081
"28",14.996,6.795
"29",13,6.228
"3",10.49,3.082
"30",6,2.962
"31",16.49,5.119
"32",7,3.338
"33",20.247,8.325
"34",10,6.154
"36",19.492,10.131
"37",7.499,3.756
"38",10.998,3.688
"39",4,2.74
"4",7,3.615
"40",9,2.174
"41",8.499,4.689
"42",6,2.99
"43",7.998,3.917
"44",11.499,4.422
"45",7,6.17
"47",6,3.387
"48",10,5.721
"49",7,3.355
"5",8,3.754
"51",7,3.551
"52",7.498,4.188
"53",10.998,7.514
"54",10,6.159
"55",10,4.727
"56",7,3.678
"57",9,5.703
"58",7,4.38
"59",7.498,3.517
"6",9,5.834
"60",7,3.942
"61",24.499,3.82
"63",7,4.936
"64",16,13.809
"65",14.982,3.279
"66",9,5.492
"67",7,1.955
"68",9.249,4.267
"69",7.997,1.999
"7",5,2.635
"70",22.983,4.797
"71",9,3.486
"72",10,7.127
"73",4,2.259
"74",12.996,8.597
"75",5,3.316
"76",5,3.182
"78",15.498,10.254
"79",12.992,4.498
"8",10,5.432
"80",4,2.297
"81",6.499,3.396
"82",5,2.655
"83",9,5.425
"84",11.166,4.925
"86",6,3.406
"87",5,3.935
"88",5,2.544
"89",7,3.672
"9",12,4.575
"90",18.489,6.81
"91",4,2.661
"92",8,2.865
"93",9.249,5.544
"94",8,3.335
"95",13.5,2.742
"96",6,3.309
"97",7,3.915
"98",22.494,10.018
