"LAKE_CODE","exp_rich","shannon"
"1_165",17.249,5.522
"1_4",23.998,10.289
"1_97",4,2.366
"10_19",25.499,9.757
"10_24",27.246,3.993
"10_95",10.5,2.329
"16_205",14,4.611
"17_209",11.499,6.684
"19_201",8.994,4.021
"19_21",14.998,5.244
"2_104",16,11.117
"2_461",14.998,8.614
"2_627",12,7.655
"2_720",15.994,4.923
"22_383",7,3.361
"24_71",20.995,2.227
"25_11",28.997,4.772
"27_108",18,5.213
"27_520",15.996,6.823
"27_696",14,7.069
"28_56",27.249,6.876
"35_104",12.499,6.859
"36_1488",12.495,2.965
"36_1936",9.999,2.795
"36_2067",14.999,6.797
"36_32",13,5.223
"38_568",20.999,4.79
"39_129",11.5,2.954
"39_270",47.478,8.328
"4_4",16,5.152
"40_61",8.248,4.492
"42_36",14.25,4.26
"47_73",14.666,2.753
"48_330",6,4.179
"48_485",2,1.087
"48_49",12,2.11
"48_566",11,2.257
"48_634",10.996,3.279
"49_280",33.998,7.476
"5_89",15.499,9.204
"52_305",19.995,7.083
"54_90",18.5,9.361
"59_99",8,3.531
"60_217",5,2.096
"60_34",6,3.004
"60_71",10.998,4.991
"60_74",11.998,5.808
"62_188",17.499,9.588
"62_358",12,3.187
"63_1047",21.496,4.799
"63_1692",19.498,6.113
"63_673",17.25,6.718
"66_31",12,3.762
"66_377",19.999,5.543
"69_316",2,1.961
"69_66",10,2.151
"71_127",7,1.134
"71_27",14.499,4.043
"75_294",5,3.96
"75_47",14,7.918
"8_141",18,2.789
"8_202",14,3.171
