"LAKE_CODE","exp_rich","shannon"
"ME006L",10,4.549
"ME013L",2,1.15
"ME018L",4,3.606
"ME019L",4,3.821
"ME023L",4,3.653
"ME251L",5,2.993
"ME252L",11,5.534
"ME253L",5,3.068
"ME254L",9,3.761
"ME255L",5,3.621
"ME256L",15,6.17
"ME259L",14,6.584
"ME261L",4,3.045
"ME263L",12,8.148
"ME264L",7,4.752
"ME268L",7,2.926
"ME271L",7,2.393
"ME272L",9,7.01
"ME274L",7.996,1.985
"ME275L",9.995,6.173
"ME500L",17.495,4.562
"ME502L",8.992,2.2
"ME503L",8,6.599
"ME504L",16.25,4.781
"ME505L",6,3.301
"ME506L",7,4.3
"ME507L",12,4.062
"ME508L",5,1.574
"ME509L",7.498,3.766
"ME510L",10,5.365
"ME511L",7,4
"ME512L",15.499,7.414
"ME513L",10,2.746
"ME514L",11.999,5.933
"ME517L",10,7.114
"ME518L",12.998,5.803
"ME519L",16,7.703
"ME520L",10,5.268
"ME521L",17.497,4.232
"ME522L",13.997,5.082
"ME524L",14.496,3.103
"ME525L",16.996,4.587
"ME526L",11.5,3.134
"ME750L",7,3.673
"ME751L",11,3.906
"ME753L",4,3.021
"ME756L",11.999,2.894
"ME757L",12,7.168
"ME761L",4,2.827
"ME762L",16.5,8.373
"ME763L",21.496,3.813
"ME764L",13,5.51
"NH006L",9,4.78
"NH009L",3,1.104
"NH010L",8,3.075
"NH012L",6,1.532
"NH250L",4,2.354
"NH251L",11.995,3.136
"NH253L",8.995,3.837
"NH254L",3,2.578
"NH500L",4,2.609
"NH501L",10,7.1
"NH502L",10,5.382
"NH503L",4,3.706
"NH504L",9,5.775
"NH505L",11,3.569
"NH506L",14.247,2.918
"NH507L",6,4.112
"NH508L",6,3.87
"NH751L",6,3.112
"NH752L",11.998,5.843
"NH753L",7,4.189
"NH754L",5,2.363
"NH755L",8,6.506
"NH756L",6,1.64
"NH757L",7,3.031
"NH758L",17.25,7.896
"NH759L",12.5,5.212
"NHS01L",8,5.778
