"LAKE_CODE","exp_rich","shannon"
"1001300",10.999,2.87
"1004600",8,3.56
"1009100",9.499,2.858
"1019500",13.999,3.342
"1023100",3,1.473
"103400",5.165,1.45
"103600",5.493,2.543
"103900",7.498,2.346
"105200",5.498,1.402
"106500",3,1.67
"107900",8.499,3.157
"117400",2,1.338
"1191600",10,2.534
"1280400",11.498,5.4
"1286500",13.994,2.567
"1295400",17.998,6.747
"1326600",11.998,3.402
"1342100",14,5.573
"1352000",7,1.458
"1369900",18.5,3.615
"1374800",9.983,3.305
"1377700",7,3.94
"1377900",11.5,2.971
"1378100",5,2.859
"1405200",6,2.219
"1406300",31.994,6.445
"1407000",6,4.506
"1412200",23.125,7.408
"1469100",4,1.751
"149000",10.994,4.529
"1502400",20,2.447
"1503000",21.999,4.013
"1516000",20.246,11.194
"1517900",14.167,2.556
"1518200",13.249,4.757
"1520900",20.989,3.85
"152200",8.499,2.106
"1522400",12,4.468
"1523000",17.25,4.653
"1527800",16.493,2.957
"1529500",5,2.475
"1537800",11,3.91
"1540400",26.995,2.874
"1542300",18.999,1.884
"1542400",23.497,5.374
"1542600",17.246,4.514
"1542700",25.993,7.092
"1544700",8.497,2.79
"1569900",11,5.071
"1575700",13.931,3.237
"1579900",24.125,2.874
"1580100",23.5,4.25
"1580200",17.244,3.486
"158600",10.976,4.148
"1586600",12.5,2.403
"1587400",7,4.131
"1588200",20.998,4.419
"1589100",11.998,6.969
"1591100",17.999,6.951
"1592000",12.5,6.457
"1593100",6,3.127
"1593400",17.4,3.81
"1593800",11,2.926
"1595600",18.999,2.392
"1596300",13.999,4.444
"1598900",16.5,3.965
"1602300",10.998,4.264
"1606200",15,4.527
"1609900",14.999,5.686
"1613000",14.499,5.029
"1613500",28.487,3.963
"161600",9.998,2.717
"1618100",12.997,3.162
"1623400",9,3.012
"1631900",21.991,8.067
"1641400",8,2.925
"1642400",6,2.214
"1653500",32.988,6.522
"1659900",10.249,4.858
"1660400",8.968,4.227
"1727000",11.124,4.465
"1727200",12.99,5.203
"1727700",12.996,7.206
"1736200",9,5.847
"1753500",9,4.241
"175700",14,1.359
"1762700",8.986,1.954
"182300",7,1.83
"1835300",14.997,3.251
"1835700",8.996,3.41
"1836700",7.248,2.957
"1840800",3,1.774
"1849500",3,2.651
"1855900",10.497,6.657
"1856100",3,2.416
"186400",4,2.259
"1867600",5.246,1.863
"1868900",7,2.688
"1880600",3,1.911
"1881100",11.993,3.037
"1882500",5,1.177
"1884100",10.5,3.037
"189400",8.984,2.506
"189800",12.25,3.389
"191100",11,3.486
"192900",5.496,2.528
"193800",2,1.688
"195400",18.959,2.779
"196100",7,2.101
"197300",9.997,2.012
"198100",13.998,4.783
"2046500",26.49,6.021
"2046600",13.995,5.261
"2046900",5.496,2.053
"2053400",7.999,2.695
"2054200",49.91,8.693
"2056600",14.25,3.348
"2059800",8.5,1.823
"2065900",24,2.118
"2068000",29,6.726
"2071700",8,3.214
"2079000",26.994,1.675
"2079800",15.499,3.662
"2093900",16.491,3.489
"2094100",12.995,4.811
"2106800",27,5.383
"2109300",22.998,3.448
"2109800",18.249,2.943
