"COMIDv2_JR","exp_rich","shannon"
849,3,2.945
865,5,3.794
873,2,1.922
881,5.246,2.726
883,2,1.47
901,5,4.429
927,3,2.048
941,6,3.247
947,2,2.072
1015,6,4.316
1019,3,2.412
1101,5,4.004
1115,6,5.551
1117,3,2.311
1123,5.495,3.255
1273,4,2.927
1291,3,2.596
1347,5,4.076
1349,4,3.386
1667,6,4.293
1689,5,2.86
1697,7,5.242
1709,7,5.868
1715,5,4.649
1803,8,5.57
1819,8.497,5.156
1823,8,5.518
1837,5,4.45
1841,3,2.505
1855,4,2.863
1857,9.962,3.603
1859,5,3.097
2791,2,1.58
2799,5,3.765
2815,5,3.604
2833,7.979,5.32
2853,7,4.92
2855,6,3.122
2857,6,4.521
2899,4,3.611
2959,15.95,6.39
2975,4,3.365
2979,5,4.488
3041,3,2.803
3043,4,4.717
3049,3,2.754
3067,5.484,3.154
3071,6,4.528
3089,6,5.739
3091,4,3.431
3109,5,4.103
3115,4,3.521
3181,5.485,3.976
3217,3,3.09
3327,3,2.232
3349,6.975,4.481
3375,6.491,4.183
3385,8,4.801
3391,6.49,4.255
3419,6,4.056
3445,5,3.448
3451,4,3.815
3455,6,4.067
3457,4,1.689
3459,4,2.67
3469,6,3.196
3473,9,6.214
3503,4,3.476
3517,6,4.53
3587,4,2.538
3915,6.481,5.397
3953,6.979,2.914
3985,4,3.094
4897,3,2.911
5543,2,2.189
5547,4,3.166
5565,2,1.525
5613,3,1.952
5633,4,2.874
5635,7.161,4.565
5637,3,2.238
6025,2,1.535
6043,2,1.834
6047,6,5.076
6065,5.486,4.111
6069,3,1.321
6075,4,2.777
718158,3,1.756
718228,3,2.84
718316,2,2.019
718638,3,1.955
718654,4.492,2.521
718876,2,1.154
718878,3,2.926
718890,2,1.585
718892,4,3.857
718904,3,2.254
718968,2,2.029
719914,2,2.021
719938,2,1.966
720030,3,3.037
720058,3,2.048
724174,2,1.976
724252,2,2.089
724258,7.968,2.865
724266,5.495,3.391
724522,5,3.396
724530,3,2.728
724540,4,3.306
724546,2,2.016
724550,2,1.11
724552,2,1.568
724554,2,2.009
724556,3,1.722
724562,3,2.925
724572,2,1.319
724608,2,1.507
724826,7.491,4.552
725256,2,2.189
725258,2,1.966
725314,2,2.016
725390,2,1.483
725640,2,1.788
725642,2,1.888
725650,3,2.623
725916,3,2.407
725920,3,3.054
802615,4,2.93
802639,3,2.371
802659,6.49,4.707
802945,4,3.598
802955,8.247,5.188
802981,6.486,3.98
802989,3,3.441
803119,2,1.675
803487,3,2.551
803579,6.491,3.264
803645,2,2.02
803671,3,2.394
803705,2,1.986
803747,5,3.48
803749,2,2.072
803765,2,1.95
803779,3,2.39
803809,3,2.363
804033,2,1.943
804215,3,2.117
804233,3,2.838
804263,3,2.125
804347,4,2.955
804393,6,5.259
804509,5,3.497
804537,4,2.749
804539,5,3.235
804621,6.488,4.243
804787,5.485,4.033
804799,7,6.026
804863,2,1.918
804865,4,3.23
804867,2,1.934
804907,5.983,2.189
804957,4.488,2.575
804971,4,3.868
804983,3,2.739
804995,4,2.647
804997,4,1.765
805045,3,2.707
805049,2,1.956
805545,7.984,5.249
805801,2,1.987
805821,3,2.802
805841,4,1.78
805935,3,2.149
806775,2,1.942
806831,2,2.042
806847,6,4.539
806869,2,1.903
806887,4,3.054
806913,4.49,1.815
806921,8,5.817
806935,4,3.659
806977,4,2.605
807041,4,2.156
807061,4,3.514
807101,4,3.193
807119,6,4.62
807135,5.485,3.328
807139,6,3.357
807161,7,5.733
807175,3,2.478
807237,5.988,2.304
807245,2,1.535
807283,3,2.581
807301,5,2.671
807329,3,2.878
807507,3,1.789
807513,7.988,3.808
807519,2,2.02
807521,3,2.262
807557,2,1.226
807597,3,2.556
807603,3,2.806
807613,3,3.024
808309,2,2.015
808329,9.246,5.482
808331,3,2.412
808335,2,1.713
808337,2,1.783
808347,6,5.363
808391,2,2.072
811489,5,2.38
816563,7,2.949
816979,4,3.667
816993,5.484,4.045
817041,4,3.245
817321,5,3.744
817391,4,3.637
817395,6.49,4.834
817445,4.987,1.535
817477,4,2.831
817523,6.485,5.444
817525,6.486,5.266
818123,3,2.371
818521,6,3.984
818633,7.981,5.366
1021802,4,3.239
1021904,2,1.14
1022228,2,1.996
1023634,5,3.358
1024922,2,1.878
1024946,4,2.702
1025120,4,3.917
1031903,2,2.108
1031931,2,1.878
1031975,2,1.788
1031979,2,2.07
1032013,2,2.137
1032127,5,3.048
1032133,5,4.184
1032135,5,4.977
1032137,2,1.39
1032347,3.485,1.489
1032425,4,2.561
1033105,5,3.991
1698534,4,2.352
1698690,2,2.043
1698694,2,1.642
1698708,4,2.048
1699094,7,3.427
1701492,2,1.676
1701508,2,1.678
1701588,7.246,4.347
1701620,2,1.746
1701688,7.496,3.94
1701712,6,4.62
1701762,8.993,3.776
1701876,4.491,2.572
1701920,8.96,3.045
1701950,7.973,3.217
1702114,3,2.979
1703316,5,3.891
1703328,4,2.23
1703344,2,2.189
1710990,4.981,2.309
1711068,3,2.445
1711078,2,1.966
1711086,2,2.052
1711100,4,2.666
1711112,5,3.517
1711128,2,1.647
1711140,9.98,3.357
1711260,2,1.604
1711426,3,3.208
1711434,3,3.034
1711436,2,1.337
1711438,5,4.42
1711442,4,3.518
1711446,2,1.709
1711454,3,3.034
1711456,2,1.804
1711464,3,3.124
1711480,5,4.665
1711486,5,2.954
1711494,2,1.878
1711506,3,2.473
1711522,6,4.383
1711600,3,3.117
1712190,2,2.065
1712224,2,2.07
1712234,2,2.027
1713032,3,2.755
1713036,2,1.18
1713096,4,3.963
1713098,3,1.299
1713100,4,2.927
1713124,4.482,2.895
1713126,4,2.384
1713132,4,2.099
1713140,4.492,1.928
1713176,3,2.494
1713178,2,2.07
1713182,2,1.069
1713186,4,3.375
1713188,7.955,3.416
1713318,6.977,4.147
1713416,35.901,5.132
1719229,2,1.129
1719243,4,4.198
1719261,3,3.005
1719281,3,2.247
1719341,5,4.524
1719351,2,2.047
1719373,4,2.745
1719375,4,4
1719807,5,4.308
1719815,6,4.039
1719859,6.164,2.452
1719869,12.245,1.607
1719871,5,3.885
1720797,3,2.374
1720933,4,4.003
1721259,8.494,5.651
1721531,4,3.116
1721727,2,1.942
1721967,2,1.644
1722039,3,2.618
1722491,3.479,1.678
1722493,3,3.242
1722581,4,3.791
1722779,3,2.188
1722811,7,5.747
1722823,3,2.838
1722831,7,4.619
1722865,5,5.208
1722945,3,2.925
1723621,10.984,5.305
1732304,9.496,6.097
1732324,6,3.201
1732570,6.977,4.7
1732692,7.967,3.341
1732716,4,3.519
1732902,6,4.584
1733494,6,4.253
1733618,5,4.388
1734598,4,2.362
1734642,2,2.089
1734886,10.494,6.314
1734892,3,3.108
1735618,13.998,6.412
1735686,5,3.987
1735780,4,3.777
1735782,2,2.06
1735848,8,6.443
1735852,6.495,4.121
1735888,6.244,4.487
1735924,4,2.397
1735958,5.492,3.14
1735962,3,2.196
1735988,2,1.566
1736026,4.481,3.043
1736070,5,4.348
1736124,5.487,3.97
1736144,2,1.966
1736582,9.993,6.06
1736642,10.166,4.243
1736654,2,1.566
1736660,6.491,4.374
1736672,6,3.877
1737634,7,3.845
1737646,6,5.63
1737650,5,4.155
1737652,6.979,4.809
1737658,9,6.25
1737700,10.977,5.449
1738006,5,3.864
1738012,5.496,3.051
1797157,8.497,4.242
1797677,6,4.055
1798735,5,4.204
1800285,11.99,5.333
1804837,19.942,6.384
1804897,5.497,1.606
1805235,6,3.164
1817491,6,3.774
1817501,17,5.724
1850495,5,2.612
1850509,4,4.074
1873781,7,3.767
1877801,2,1.099
1878149,3.492,1.274
2113684,3,3.197
2113690,2,2.07
2113712,4,2.878
2113718,2,1.741
2113750,9,6.903
2113758,3,2.806
2113796,10,5.819
2113798,6,4.843
2113834,7,5.613
2113978,9,5.446
2113990,9,3.833
2114036,6,6.009
2114060,4,2.942
2114082,6,4.075
2114132,4,3.785
2114146,3,2.688
2114248,2,1.878
2114382,5,2.829
2116460,2,1.974
2116472,2,1.085
2116498,10,5.834
2116516,4,2.865
2116610,2,1.817
2116742,8,7.144
2116892,4,2.665
2117216,8,5.35
2117228,6,3.943
2117294,8,5.641
2117424,7,3.94
2118082,8,6.061
2165865,21.993,8.478
2263069,28.155,6.831
2263547,31.238,9.497
2268557,25.956,13.401
2453132,8.989,3.569
2454048,6.496,2.572
2454076,8.496,3.857
2454148,5,2.739
2454202,3,2.007
2454320,3,1.835
2454546,4,2.845
2455456,2,1.203
2455488,9.958,6.544
2455738,2,1.192
2455768,4,2.325
2455772,5.248,1.624
2455786,2,1.231
2455818,4,1.959
2455854,2,1.545
2644408,18.663,9.446
2644866,33.187,13.024
2645410,27.493,12.649
2645614,31.117,13.683
2648256,14,4.49
2648622,24.999,9.901
2648748,16.998,5.998
2648888,17.995,8.595
2648894,15,7.552
2648898,15.995,6.709
2648906,14,6.92
2648916,28.992,7.26
2648924,18.499,8.862
2649016,13.498,7.594
2649024,16,7.253
2649086,23.5,9.344
2649384,26.993,7.968
2651538,3,1.482
2651564,4.999,1.138
2651598,5.992,1.398
2651604,7,5.57
2651632,3,1.228
2651640,3,1.642
2651654,5,1.174
2651672,3,2.226
2651678,3,1.613
2651680,11.992,4.53
2651688,10.25,1.878
2651692,2,1.03
2673476,6.242,4.732
2673482,3,2.457
2673696,4,2.836
2673726,2,2.016
2674078,2,1.218
2676414,6,4.82
2676422,4,3.2
2676480,4,3.65
2676526,2,1.752
2676572,4,4.164
2676582,4,3.186
2676646,2,1.483
2676880,9.986,3.071
2677200,3,1.805
2677316,4,4.462
2677482,4,2.261
2677584,3,2.758
2677710,6,5.908
2678134,10,3.402
2679720,8,5.083
