"COMIDv2_JR","lat","lon","samp_year","STATE_AB","obs_spec","HU4_ZoneID","HU8_ZoneID","HU12_ZoneID","exp_rich","StreamOrde","order_class","samp_length","width.x","width.y","width","area"
11928802,47.00245441,-88.50955749,2005,"MI",15,"HU4_24","HU8_147","HU12_14887",16.983,6,"RIVER",1265,NA,42.7,42.7,0.0540155
11946997,46.51661948,-89.01412583,2006,"MI",14,"HU4_24","HU8_145","HU12_13529",14.998,3,"MID",365.76,NA,2.63,2.63,0.0009619488
11951401,46.42402099,-89.5833287,2004,"MI",5,"HU4_24","HU8_145","HU12_13501",5,2,"HW",152.4,3.95021,NA,3.95021,0.000602012004
12503351,45.39564074,-84.53202674,2003,"MI",12,"HU4_31","HU8_206","HU12_20061",12,3,"MID",365.76,12.0701,NA,12.0701,0.004414759776
12953068,44.50418914,-84.59115996,2005,"MI",15,"HU4_31","HU8_207","HU12_20066",22.974,3,"MID",304.8,12.192,NA,12.192,0.0037161216
3472663,42.36333377,-85.52954587,2003,"MI",3,"HU4_37","HU8_190","HU12_12361",3,2,"HW",332.232,4.70306,NA,4.70306,0.00156250702992
3473333,42.34083396,-85.24009135,2005,"MI",8,"HU4_37","HU8_190","HU12_19236",12.444,5,"MID",1459.992,NA,84.84,84.84,0.12386572128
6790993,46.51088988,-90.07164068,2006,"MI",12,"HU4_24","HU8_129","HU12_13515",12.998,4,"MID",457.2,NA,23.02,23.02,0.010524744
6848543,45.36888282,-87.7285498,2005,"MI",18,"HU4_32","HU8_163","HU12_13086",20.234,6,"RIVER",1400,NA,160.92,160.92,0.225288
6859774,45.79741617,-87.22857528,2003,"MI",16,"HU4_32","HU8_162","HU12_12994",16.249,4,"MID",137.16,NA,27.99,27.99,0.0038391084
8990078,43.8560165,-85.84148147,2004,"MI",7,"HU4_30","HU8_195","HU12_12625",7.498,3,"MID",365.76,11.0642,NA,11.0642,0.004046841792
8990202,43.59722403,-85.95153034,2004,"MI",15,"HU4_30","HU8_195","HU12_12650",17.247,2,"HW",152.4,11.2928,NA,11.2928,0.00172102272
8990450,43.54719645,-85.80140743,2004,"MI",13,"HU4_30","HU8_195","HU12_12649",15.246,3,"MID",365.76,11.8872,NA,11.8872,0.004347862272
8991580,43.59926858,-86.18074504,2004,"MI",5,"HU4_30","HU8_195","HU12_12602",5,2,"HW",152.4,NA,NA,NA,NA
8991886,43.92554106,-86.39856522,2005,"MI",16,"HU4_30","HU8_195","HU12_12640",22.227,5,"MID",1426.464,NA,36.2,36.2,0.0516379968
9005817,43.03956475,-86.10870679,2005,"MI",10,"HU4_37","HU8_193","HU12_12309",10.499,6,"RIVER",1283.208,NA,184.26,184.26,0.23644390608
9008227,42.96727568,-85.08987343,2005,"MI",12,"HU4_37","HU8_193","HU12_12263",21.942,6,"RIVER",1490.472,NA,86.92,86.92,0.12955182624
9008349,42.93213738,-85.23040288,2004,"MI",15,"HU4_37","HU8_193","HU12_12266",15.995,6,"RIVER",1609.344,NA,69.21,69.21,0.11138269824
11930214,46.72306498,-88.81408674,2006,"MI",6,"HU4_24","HU8_147","HU12_20033",6,2,"HW",457.2,NA,NA,NA,NA
11930334,46.71569859,-88.64496041,2006,"MI",3,"HU4_24","HU8_147","HU12_20041",3,2,"HW",152.4,NA,NA,NA,NA
11930690,46.55807173,-88.57255418,2005,"MI",3,"HU4_24","HU8_147","HU12_13555",3,2,"HW",152.4,4.09346,NA,4.09346,0.000623843304
11951427,46.41219548,-89.34250657,2006,"MI",8,"HU4_24","HU8_145","HU12_13504",8,4,"MID",365.76,NA,17.95,17.95,0.006565392
12014046,46.00062509,-86.9543305,2003,"MI",14,"HU4_32","HU8_154","HU12_13046",14.498,3,"MID",131.6736,NA,24.54,24.54,0.003231270144
12021302,46.38255304,-86.70873132,2006,"MI",3,"HU4_24","HU8_149","HU12_13523",3,1,"HW",304.8,NA,NA,NA,NA
12026122,46.5192781,-87.56277523,2005,"MI",9,"HU4_24","HU8_148","HU12_13550",9.499,3,"MID",365.76,10.095,NA,10.095,0.0036923472
12026202,46.75610826,-87.66162707,2003,"MI",5,"HU4_24","HU8_148","HU12_14860",5,4,"MID",106.9848,NA,8.95,8.95,0.00095751396
12026264,46.63139541,-87.50493236,2004,"MI",3,"HU4_24","HU8_148","HU12_13571",3,3,"MID",243.84,5.31266,NA,5.31266,0.0012954390144
12116608,44.69138913,-84.84596831,2004,"MI",9,"HU4_30","HU8_202","HU12_13584",10.998,2,"HW",304.8,18.7147,NA,18.7147,0.00570424056
12120316,44.47870002,-85.62034808,2004,"MI",13,"HU4_30","HU8_202","HU12_13595",17.489,2,"HW",365.76,5.38886,NA,5.38886,0.0019710294336
12120656,44.30145185,-85.85216165,2005,"MI",14,"HU4_30","HU8_202","HU12_12703",15.49,4,"MID",1420.368,NA,36.59,36.59,0.05197126512
12120716,44.27199145,-85.97515673,2005,"MI",16,"HU4_30","HU8_202","HU12_12718",33.858,5,"MID",1411.224,NA,63.09,63.09,0.08903412216
12121130,44.36819833,-85.75645113,2004,"MI",2,"HU4_30","HU8_202","HU12_19963",2,3,"MID",152.4,NA,NA,NA,NA
12121180,44.18351868,-85.76142007,2004,"MI",5,"HU4_30","HU8_202","HU12_12709",5.992,4,"MID",457.2,18.1569,NA,18.1569,0.00830133468
12121834,44.28681671,-86.15148309,2005,"MI",17,"HU4_30","HU8_202","HU12_12720",29.406,5,"MID",1655.064,NA,65.89,65.89,0.10905216696
12132378,43.92735373,-85.5268821,2004,"MI",6,"HU4_30","HU8_196","HU12_12681",6,3,"MID",365.76,8.8392,NA,8.8392,0.003233025792
12133354,43.90971233,-85.25600688,2005,"MI",10,"HU4_30","HU8_196","HU12_12677",10.996,5,"MID",1338.072,NA,46.25,46.25,0.06188583
12134858,43.39569925,-85.83948319,2005,"MI",12,"HU4_30","HU8_196","HU12_19900",14.234,6,"RIVER",1438.656,NA,61.89,61.89,0.08903841984
12135384,43.31080556,-86.05835724,2004,"MI",8,"HU4_30","HU8_196","HU12_19903",8.486,2,"HW",53.34,7.02259,NA,7.02259,0.0003745849506
12135536,43.29510209,-86.08729278,2005,"MI",15,"HU4_30","HU8_196","HU12_12389",24.943,6,"RIVER",1386.84,NA,68.55,68.55,0.095067882
12183703,46.4599533,-84.9879656,2006,"MI",9,"HU4_24","HU8_151","HU12_20108",9,1,"HW",281.94,NA,NA,NA,NA
12189013,46.31459976,-85.19555378,2004,"MI",4,"HU4_24","HU8_150","HU12_13874",4.484,3,"MID",2414.016,NA,11.68,11.68,0.02819570688
12189197,46.3901153,-85.28821162,2005,"MI",10,"HU4_24","HU8_150","HU12_13885",10.165,5,"MID",1609.344,NA,59.79,59.79,0.09622267776
12203198,44.80693424,-83.32427268,2003,"MI",14,"HU4_31","HU8_205","HU12_13752",16.244,3,"MID",365.76,10.2413,NA,10.2413,0.003745857888
12206504,46.24899368,-84.84501576,2005,"MI",6,"HU4_31","HU8_159","HU12_13853",6.494,1,"HW",152.4,1.99949,NA,1.99949,0.000304722276
