"COMIDv2_JR","LAT_DD","LON_DD","samp_year","samp_length","width","common_name","scientific_name","ind_count","STATE","SPP_CODE_new","obs_spec","slope","exp_rich","shannon","HU4_ZoneID","HUC4","HU8_ZoneID","HU12_ZoneID","StreamOrde","LENGTHKM","CLASS"
1878149,44.44568377,-92.21868713,2001,100,NA,"rainbow darter","Etheostoma caeruleum",1,"WI","RAINBOW_DARTER",3,0.019,3.492,1.274,"HU4_55","0704","HU8_330","HU12_10056",2,2.473,"HW_stream"
1878149,44.44568377,-92.21868713,2001,100,NA,"blackside darter","Percina maculata",2,"WI","BLACKSIDE_DARTER",3,0.019,3.492,1.274,"HU4_55","0704","HU8_330","HU12_10056",2,2.473,"HW_stream"
1878149,44.44568377,-92.21868713,2001,100,NA,"brook trout","Salvelinus fontinalis",61,"WI","BROOK_TROUT",3,0.019,3.492,1.274,"HU4_55","0704","HU8_330","HU12_10056",2,2.473,"HW_stream"
13108009,44.6658236,-92.10063385,2003,91,NA,"white sucker","Catostomus commersonii",25,"WI","WHITE_SUCKER",5,0.042,5.979,3.114,"HU4_27","0705","HU8_369","HU12_10266",2,4.288,"HW_stream"
13108009,44.6658236,-92.10063385,2003,91,NA,"mottled sculpin","Cottus bairdii",1,"WI","MOTTLED_SCULPIN",5,0.042,5.979,3.114,"HU4_27","0705","HU8_369","HU12_10266",2,4.288,"HW_stream"
13108009,44.6658236,-92.10063385,2003,91,NA,"brook stickleback","Culaea inconstans",4,"WI","BROOK_STICKLEBACK",5,0.042,5.979,3.114,"HU4_27","0705","HU8_369","HU12_10266",2,4.288,"HW_stream"
13108009,44.6658236,-92.10063385,2003,91,NA,"fathead minnow","Pimephales promelas",1,"WI","FATHEAD_MINNOW",5,0.042,5.979,3.114,"HU4_27","0705","HU8_369","HU12_10266",2,4.288,"HW_stream"
13108009,44.6658236,-92.10063385,2003,91,NA,"creek chub","Semotilus atromaculatus",17,"WI","CREEK_CHUB",5,0.042,5.979,3.114,"HU4_27","0705","HU8_369","HU12_10266",2,4.288,"HW_stream"
13106869,44.58259793,-91.8889575,2004,100,2.9,"brook stickleback","Culaea inconstans",14,"WI","BROOK_STICKLEBACK",5,0,5,3.848,"HU4_27","0705","HU8_369","HU12_10269",1,4.986,"HW_stream"
13106869,44.58259793,-91.8889575,2004,100,2.9,"johnny darter","Etheostoma nigrum",31,"WI","JOHNNY_DARTER",5,0,5,3.848,"HU4_27","0705","HU8_369","HU12_10269",1,4.986,"HW_stream"
