"SITE_ID","SPP_CODE","TOTAL_COUNT","OBSERVED_RICH","EXPECTED_RICH","AREA_sqkm","CONN_CLASS","STATE","TYPE"
"9008227","WHITE_SUCKER",1,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","SPOTFIN_SHINER",1,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","COMMON_CARP",5,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","NORTHERN_HOG_SUCKER",5,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","SMALLMOUTH_BASS",9,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","SPOTTED_SUCKER",1,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","SILVER_REDHORSE",17,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","GOLDEN_REDHORSE",66,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","SHORTHEAD_REDHORSE",59,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","LOGPERCH",1,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","FLATHEAD_CATFISH",1,12,21.942,0.59383744,"RIVER","MI","stream"
"9008227","WALLEYE",5,12,21.942,0.59383744,"RIVER","MI","stream"
"9008349","ROCK_BASS",12,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","QUILLBACK",3,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","LONGNOSE_SUCKER",1,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","COMMON_CARP",18,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","NORTHERN_HOG_SUCKER",7,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","CHANNEL_CATFISH",13,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","LONGNOSE_GAR",1,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","BLUEGILL",5,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","SMALLMOUTH_BASS",24,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","SPOTTED_SUCKER",7,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","SILVER_REDHORSE",33,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","GOLDEN_REDHORSE",43,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","SHORTHEAD_REDHORSE",22,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","GREATER_REDHORSE",10,15,15.995,0.3287475,"RIVER","MI","stream"
"9008349","FLATHEAD_CATFISH",3,15,15.995,0.3287475,"RIVER","MI","stream"
"9005817","COMMON_CARP",7,10,10.499,0.5260623,"RIVER","MI","stream"
"9005817","GIZZARD_SHAD",360,10,10.499,0.5260623,"RIVER","MI","stream"
"9005817","BROOK_SILVERSIDE",1,10,10.499,0.5260623,"RIVER","MI","stream"
"9005817","PUMPKINSEED",12,10,10.499,0.5260623,"RIVER","MI","stream"
"9005817","BLUEGILL",41,10,10.499,0.5260623,"RIVER","MI","stream"
"9005817","SMALLMOUTH_BASS",2,10,10.499,0.5260623,"RIVER","MI","stream"
"9005817","LARGEMOUTH_BASS",33,10,10.499,0.5260623,"RIVER","MI","stream"
"9005817","GOLDEN_REDHORSE",5,10,10.499,0.5260623,"RIVER","MI","stream"
"9005817","SHORTHEAD_REDHORSE",9,10,10.499,0.5260623,"RIVER","MI","stream"
"9005817","EMERALD_SHINER",10,10,10.499,0.5260623,"RIVER","MI","stream"
"3472663","MOTTLED_SCULPIN",150,3,3,0.00233948,"HW_stream","MI","stream"
"3472663","LARGEMOUTH_BASS",1,3,3,0.00233948,"HW_stream","MI","stream"
"3472663","BROWN_TROUT",252,3,3,0.00233948,"HW_stream","MI","stream"
"12135536","ROCK_BASS",1,15,24.943,0.21709785,"RIVER","MI","stream"
"12135536","QUILLBACK",3,15,24.943,0.21709785,"RIVER","MI","stream"
"12135536","WHITE_SUCKER",1,15,24.943,0.21709785,"RIVER","MI","stream"
"12135536","COMMON_CARP",5,15,24.943,0.21709785,"RIVER","MI","stream"
"12135536","NORTHERN_HOG_SUCKER",3,15,24.943,0.21709785,"RIVER","MI","stream"
"12135536","BURBOT",3,15,24.943,0.21709785,"RIVER","MI","stream"
"12135536","COMMON_SHINER",28,15,24.943,0.21709785,"RIVER","MI","stream"
"12135536","SMALLMOUTH_BASS",11,15,24.943,0.21709785,"RIVER","MI","stream"
